reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 9","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,33-42,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,1352,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 42 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 78% 1,2-DCA removal; Cl- production 74% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 11","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,90-120,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,3844,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 120 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 75% 1,2-DCA removal; Cl- production 43% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 13","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,147-184,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,5891,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 184 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 80% 1,2-DCA removal; Cl- production 58% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 15","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,245-306,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,9791,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 306 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 80% 1,2-DCA removal; Cl- production 36% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 17","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,363-448,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,14337,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 448 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 81% 1,2-DCA removal; Cl- production 58% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 18","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,764-910,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,29116,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 910 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 84% 1,2-DCA removal; Cl- production 56% of stoichiometric","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA cometabolic degradation in nitrifying biofilm reactor, Exp Set 2 Run 20","1,2-DCA + O2 → products + Cl-",总反应,还原+生物降解,"1,2-DCA",Cl- (partial mineralization),NA,1574-2128,mg/m².d,NA,NA,NA,NA,23-28,°C,7-8.5,initial,68087,μg/L,NA,NA,NA,批次,"NH4-N concentration; 1,2-DCA concentration",NA,好氧,"Surface loading 2128 mg/m².d; HRT 17h; DO 2.5-4 mg/L; 74% 1,2-DCA removal; Cl- production 35% of stoichiometric; 40-50% NH4-N inhibition","Biodegradation of 1,2-dichloroethane (1,2-DCA) by cometabolism in a nitrifying biofilm reactor",International Biodeterioration & Biodegradation
"1,2-DCA reduction by crude cell extract with H2, Mg-ATP present","1,2-DCA → ethylene + 2Cl-",总反应,还原,"1,2-dichloroethane",ethylene,1,34,pmol/min/mg protein,NA,NA,NA,NA,60,°C,6.8,buffered,89,μM,NA,NA,NA,批次,"1,2-DCA concentration",NA,厌氧,"Apparent Km for 1,2-DCA; Vmax 34 pmol/min/mg protein","METHYL-COENZYME-M REDUCTASE OF METHANOBACTERIUM-THERMOAUTOTROPHICUM DELTA-H CATALYZES THE REDUCTIVE DECHLORINATION OF 1,2-DICHLOROETHANE TO ETHYLENE AND CHLOROETHANE",Journal of Bacteriology
"1,2-DCA reduction by crude cell extract with H2, Mg-ATP present","1,2-DCA → chloroethane + Cl-",总反应,还原,"1,2-dichloroethane",chloroethane,1,20,pmol/min/mg protein,NA,NA,NA,NA,60,°C,6.8,buffered,119,μM,NA,NA,NA,批次,"1,2-DCA concentration",NA,厌氧,"Apparent Km for 1,2-DCA; Vmax 20 pmol/min/mg protein","METHYL-COENZYME-M REDUCTASE OF METHANOBACTERIUM-THERMOAUTOTROPHICUM DELTA-H CATALYZES THE REDUCTIVE DECHLORINATION OF 1,2-DICHLOROETHANE TO ETHYLENE AND CHLOROETHANE",Journal of Bacteriology
"1,1-C2H4Cl2 dechlorination by living methanogenic sludge with methanol","1,1-C2H4Cl2 → C2H5Cl + C2H6",总反应,还原,"1,1-C2H4Cl2 (1,1-dichloroethane)",C2H5Cl (14.5%); C2H6 (trace),NA,20,nmol/day,NA,NA,NA,NA,30,°C,7.2-7.3,initial,~1500,nmol/batch,NA,NA,NA,批次,NA,NA,厌氧,Living sludge; methanogenic granular sludge from methanol-fed UASB reactor,Gratuitous dechlorination of chloroethanes by methanogenic granular sludge,Appl Microbiol Biotechnol
"1,2-C2H4Cl2 dechlorination by living methanogenic sludge with methanol","1,2-C2H4Cl2 → C2H5Cl + C2H4 + C2H6",总反应,还原,"1,2-C2H4Cl2 (1,2-dichloroethane)",C2H5Cl (10.3%); C2H4 (9.7%); C2H6 (trace),NA,30,nmol/day,NA,NA,NA,NA,30,°C,7.2-7.3,initial,~1500,nmol/batch,NA,NA,NA,批次,NA,NA,厌氧,Living sludge; methanogenic granular sludge from methanol-fed UASB reactor,Gratuitous dechlorination of chloroethanes by methanogenic granular sludge,Appl Microbiol Biotechnol
"Pseudomonas sp. strain DCA1 growth on 1,2-dichloroethane at 25°C","1,2-dichloroethane → chloroacetaldehyde → chloroacetic acid → glycolic acid",总反应,生物降解,"1,2-dichloroethane",glycolic acid,NA,0.14,h⁻¹,NA,NA,NA,NA,25,°C,NA,NA,1,mM,NA,NA,NA,批次,温度,NA,好氧,Growth rate; monooxygenase-mediated pathway,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
"Pseudomonas sp. strain DCA1 growth on 1,2-dichloroethane at 21°C","1,2-dichloroethane → chloroacetaldehyde → chloroacetic acid → glycolic acid",总反应,生物降解,"1,2-dichloroethane",glycolic acid,NA,0.12,h⁻¹,NA,NA,NA,NA,21,°C,NA,NA,1,mM,NA,NA,NA,批次,温度,NA,好氧,Growth rate from temperature curve,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
"Pseudomonas sp. strain DCA1 growth on 1,2-dichloroethane at 30°C","1,2-dichloroethane → chloroacetaldehyde → chloroacetic acid → glycolic acid",总反应,生物降解,"1,2-dichloroethane",glycolic acid,NA,0.07,h⁻¹,NA,NA,NA,NA,30,°C,NA,NA,1,mM,NA,NA,NA,批次,温度,NA,好氧,Growth rate from temperature curve,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
"Xanthobacter autotrophicus GJ10 growth on 1,2-dichloroethane comparison","1,2-dichloroethane → 2-chloroethanol → chloroacetaldehyde → chloroacetic acid",总反应,生物降解,"1,2-dichloroethane",chloroacetic acid,NA,NA,NA,NA,NA,NA,NA,30,°C,NA,NA,5,mM,NA,NA,NA,批次,NA,NA,好氧,Reference strain; hydrolytic dehalogenase pathway,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
DCA monooxygenase activity in cell extract with NADH,"1,2-dichloroethane + O₂ + NADH → 1,2-dichloroethanol",第1步,氧化,"1,2-dichloroethane","1,2-dichloroethanol",NA,7,nmol·min⁻¹·mg⁻¹ protein,NA,NA,NA,NA,25,°C,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,好氧,Cell extract; monooxygenase activity,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
DCA monooxygenase activity in cell extract with NADPH,"1,2-dichloroethane + O₂ + NADPH → 1,2-dichloroethanol",第1步,氧化,"1,2-dichloroethane","1,2-dichloroethanol",NA,2.3,nmol·min⁻¹·mg⁻¹ protein,NA,NA,NA,NA,25,°C,NA,NA,100,μM,NA,NA,NA,批次,NA,NA,好氧,Cell extract; lower activity with NADPH,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
Continuous culture steady-state,"1,2-dichloroethane → chloroacetaldehyde → chloroacetic acid → glycolic acid",总反应,生物降解,"1,2-dichloroethane",glycolic acid,NA,0.05,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,1,mg/L gas phase,NA,NA,NA,连续流,NA,NA,好氧,Fermenter; steady-state conditions,"Monooxygenase-mediated 1,2-dichloroetbane degradation by Pseudomonas sp Strain DCA1",Applied and Environmental Microbiology
"1,2-DCA reduction in NaAc-fed biocathode at -0.3V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.056,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,cathodic potential,NA,厌氧,E12h=51.0±5.8%; E24h=73.4±2.4%; cathode potential -0.3V vs SCE,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in NaAc-fed biocathode at -0.5V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.15,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,cathodic potential,NA,厌氧,E12h=87.0±3.2%; E24h=99.8±0.1%; cathode potential -0.5V vs SCE; dechlorination rate 2.20 mM/d; coulombic efficiency 135.4±3.4%,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in NaAc-fed biocathode at -0.7V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.118,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,cathodic potential,NA,厌氧,E12h=76.7±3.1%; E24h=94.9±2.3%; cathode potential -0.7V vs SCE,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in NaAc-fed biocathode at -0.9V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.09,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,cathodic potential,NA,厌氧,E12h=66.4±8.2%; E24h=88.4±1.9%; cathode potential -0.9V vs SCE,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in NaHCO3-fed biocathode at -0.5V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.079,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,electron donor type,NA,厌氧,E12h=60.9±2.3%; E24h=84.9±3.1%; cathode potential -0.5V vs SCE; coulombic efficiency >80%,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in open circuit control","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.008,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,electrical stimulation,NA,厌氧,E12h=12.8±2.7%; E24h=17.2±3.6%; open circuit control,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,2-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-DCA reduction in abiotic cathode at -0.5V","1,2-DCA → ethene",总反应,还原,"1,2-DCA",ethene,1,0.003,h⁻¹,NA,NA,NA,NA,23±3,°C,7,initial,2.2,mM,NA,NA,NA,批次,microbial presence,NA,厌氧,E12h=2.9±1.3%; E24h=5.5±2.5%; cathode potential -0.5V vs SCE; abiotic control,"Bioelectrochemical assisted dechlorination of tetrachloroethylene and 1,22-dichloroethane by acclimation of anaerobic sludge",Chemosphere
"1,2-dibromoethane conversion by haloalkane dehalogenase","1,2-dibromoethane → products + Br-",总反应,生物降解,"1,2-dibromoethane",alcohol; bromide,NA,3,s⁻¹,NA,NA,NA,NA,30,°C,8.2,buffered,NA,NA,NA,NA,NA,批次,NA,NA,NA,kcat value from text,Kinetics of halide release of haloalkane dehalogenase: Evidence for a slow conformational change,Biochemistry
"1,2-dichloroethane conversion by haloalkane dehalogenase","1,2-dichloroethane → products + Cl-",总反应,生物降解,"1,2-dichloroethane",alcohol; chloride,NA,3.5,s⁻¹,NA,NA,NA,NA,30,°C,8.2,buffered,NA,NA,NA,NA,NA,批次,NA,NA,NA,kcat value from text,Kinetics of halide release of haloalkane dehalogenase: Evidence for a slow conformational change,Biochemistry
"1,2-DCA reduction in ultrapure water with µZVI and vitamin B12",NA,总反应,还原,"1,2-DCA",ethene (proposed),1,0.0847,day⁻¹,NA,NA,NA,NA,25,°C,NA,NA,13.52,mg/L,NA,NA,NA,批次,NA,NA,厌氧,Byproduct ethene proposed based on energetic calculations but not analytically observed,Remediation of Chlorinated Alkanes by Vitamin B12 and Zero-Valent Iron,Journal of Chemistry
"OH radical reaction with 1,1-dichloroethane",NA,总反应,还原,"1,1-dichloroethane",NA,2,2.0E+08,M⁻¹ s⁻¹,NA,NA,NA,NA,22,°C,8.2,buffered,0.2,µM,NA,NA,NA,批次,NA,NA,NA,"Indirect OH reaction; kOH,M; only 50 mg/L H2O2",Treatment of volatile organic chemicals on the EPA contaminant candidate list using ozonation and the O3/H2O2 advanced oxidation process,Environ. Sci. Technol.
"1,2-DCA hydrodechlorination on Pt/SiO2, ethane formation",ClCH2CH2Cl + 2H2 → CH3CH3 + 2HCl,总反应,还原,ClCH2CH2Cl,CH3CH3,NA,NA,NA,NA,NA,69.3,kJ/mol,180,°C,NA,NA,23 mol%,mol%,NA,Pt/SiO2,NA,批次,温度/反应物浓度/H2浓度,"0.29 (1,2-DCA); 0.24 (H2)",NA,"Apparent Ea from experiment; reaction orders: 0.29 (1,2-DCA), 0.24 (H2)","Hydrodechlorination of 1,2-Dichloroethane on Platinum Catalysts: Insights from Reaction Kinetics Experiments, Density Functional Theory, and Microkinetic Modeling",ACS Catal.
"1,2-DCA hydrodechlorination on Pt/SiO2, chloroethane formation",ClCH2CH2Cl + H2 → CH3CH2Cl + HCl,总反应,还原,ClCH2CH2Cl,CH3CH2Cl,NA,NA,NA,NA,NA,78.5,kJ/mol,180,°C,NA,NA,23 mol%,mol%,NA,Pt/SiO2,NA,批次,温度/反应物浓度/H2浓度,"0.31 (1,2-DCA); 0.41 (H2)",NA,"Apparent Ea from experiment; reaction orders: 0.31 (1,2-DCA), 0.41 (H2); side product 15-20%","Hydrodechlorination of 1,2-Dichloroethane on Platinum Catalysts: Insights from Reaction Kinetics Experiments, Density Functional Theory, and Microkinetic Modeling",ACS Catal.
Model-predicted ethane formation after parameter adjustment,ClCH2CH2Cl + 2H2 → CH3CH3 + 2HCl,总反应,还原,ClCH2CH2Cl,CH3CH3,NA,NA,NA,NA,NA,63.1,kJ/mol,180,°C,NA,NA,23 mol%,mol%,NA,Pt/SiO2,NA,批次,温度/反应物浓度/H2浓度,"0.29 (1,2-DCA); 0.42 (H2)",NA,"Model-predicted apparent Ea; reaction orders: 0.29 (1,2-DCA), 0.42 (H2)","Hydrodechlorination of 1,2-Dichloroethane on Platinum Catalysts: Insights from Reaction Kinetics Experiments, Density Functional Theory, and Microkinetic Modeling",ACS Catal.
Model-predicted chloroethane formation after parameter adjustment,ClCH2CH2Cl + H2 → CH3CH2Cl + HCl,总反应,还原,ClCH2CH2Cl,CH3CH2Cl,NA,NA,NA,NA,NA,73.2,kJ/mol,180,°C,NA,NA,23 mol%,mol%,NA,Pt/SiO2,NA,批次,温度/反应物浓度/H2浓度,"0.33 (1,2-DCA); 0.43 (H2)",NA,"Model-predicted apparent Ea; reaction orders: 0.33 (1,2-DCA), 0.43 (H2)","Hydrodechlorination of 1,2-Dichloroethane on Platinum Catalysts: Insights from Reaction Kinetics Experiments, Density Functional Theory, and Microkinetic Modeling",ACS Catal.
"Isolate C11 (Paenibacillus amylolyticus) degrading 1,2-DCE in MSM",NA,NA,生物降解,"1,2-dichloroethane",NA,NA,0.99,d⁻¹,NA,NA,NA,NA,30,°C,NA,NA,2,mM,NA,NA,NA,批次,NA,NA,好氧,Specific growth rate constant; degradation rate constant 0.402±0.0261 d⁻¹,"Aerobic biodegradation of 1,2-dichloroethane and 1,3-dichloropropene by bacteria isolated from a pulp mill wastewater effluent in south Africa",Biotechnology and Bioprocess Engineering
"Isolate C22 (Bacillus megaterium) degrading 1,2-DCE in MSM",NA,NA,生物降解,"1,2-dichloroethane",NA,NA,1.094,d⁻¹,NA,NA,NA,NA,30,°C,NA,NA,2,mM,NA,NA,NA,批次,NA,NA,好氧,Specific growth rate constant; degradation rate constant 0.407±0.0147 d⁻¹,"Aerobic biodegradation of 1,2-dichloroethane and 1,3-dichloropropene by bacteria isolated from a pulp mill wastewater effluent in south Africa",Biotechnology and Bioprocess Engineering
"Isolate C33 (Microbacterium oxydans) degrading 1,2-DCE in MSM",NA,NA,生物降解,"1,2-dichloroethane",NA,NA,0.864,d⁻¹,NA,NA,NA,NA,30,°C,NA,NA,2,mM,NA,NA,NA,批次,NA,NA,好氧,Specific growth rate constant; degradation rate constant 0.333±0.0144 d⁻¹,"Aerobic biodegradation of 1,2-dichloroethane and 1,3-dichloropropene by bacteria isolated from a pulp mill wastewater effluent in south Africa",Biotechnology and Bioprocess Engineering
"Mixed culture degrading 1,2-DCE in MSM",NA,NA,生物降解,"1,2-dichloroethane",NA,NA,0.335,d⁻¹,NA,NA,NA,NA,30,°C,NA,NA,2,mM,NA,NA,NA,批次,NA,NA,好氧,Degradation rate constant for mixed culture,"Aerobic biodegradation of 1,2-dichloroethane and 1,3-dichloropropene by bacteria isolated from a pulp mill wastewater effluent in south Africa",Biotechnology and Bioprocess Engineering
"TCA reduction at Cu in DMF + 0.1M Pr4NBF4 + 0.1M HAc, stepwise electrolysis",CH3CHCl2 + 4e- + 3H+ → CH3CH3 + 2Cl-,第2步,还原,CH3CHCl2,CH3CH3 (72.5%); CH2CH2 (4.5%),NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,10,mM,NA,NA,NA,批次,NA,NA,厌氧,Eapp = -2.55V vs SCE; n = 9.2 electrons transferred per molecule; Sequential hydrodehalogenation to ethane,Electrocatalytic dechlorination of volatile organic compounds at copper cathode. Part II: Polychloroethanes,Applied Catalysis B: Environmental
"TCA reduction at Cu in DMF + 0.1M Pr4NBF4 + 1M H2O, stepwise electrolysis",CH3CHCl2 + 4e- + 3H+ → CH3CH3 + 2Cl-,第2步,还原,CH3CHCl2,CH3CH3 (39.8%); CH2CH2 (16.1%); CH3CH2Cl (2.5%),NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,10,mM,NA,NA,NA,批次,NA,NA,厌氧,Eapp = -2.65V vs SCE; n = 5.73 electrons transferred; Both hydrodehalogenation and dehydrodehalogenation mechanisms,Electrocatalytic dechlorination of volatile organic compounds at copper cathode. Part II: Polychloroethanes,Applied Catalysis B: Environmental
DCA reduction at Cu in DMF + 0.1M Pr4NBF4 + 0.1M HAc,CH3CHCl2 + 4e- + 3H+ → CH3CH3 + 2Cl-,总反应,还原,CH3CHCl2,CH3CH3 (84.2%); CH2CH2 (6.4%); CH3CH2Cl (9.2%),NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,10,mM,NA,NA,NA,批次,NA,NA,厌氧,Eapp = -2.55V vs SCE; n = 9.65 electrons transferred; High selectivity to ethane with HAc,Electrocatalytic dechlorination of volatile organic compounds at copper cathode. Part II: Polychloroethanes,Applied Catalysis B: Environmental
DCA reduction at Cu in DMF + 0.1M Pr4NBF4 + 1M H2O,CH3CHCl2 + 4e- + 3H+ → CH3CH3 + 2Cl-,总反应,还原,CH3CHCl2,CH3CH3 (56.1%); CH2CH2 (5.4%); CHCH (3.6%); CH3CH2Cl (7.9%),NA,NA,NA,NA,NA,NA,NA,25,°C,NA,NA,10,mM,NA,NA,NA,批次,NA,NA,厌氧,Eapp = -2.65V vs SCE; n = 5.05 electrons transferred; Acetylene detected indicating dehydrodehalogenation,Electrocatalytic dechlorination of volatile organic compounds at copper cathode. Part II: Polychloroethanes,Applied Catalysis B: Environmental
DCE reduction by Fe-Ni nanoparticles immobilised in polysulphone matrix,DCE + H2 → hydrocarbons + HCl,总反应,还原,DCE,hydrocarbons,NA,NA,NA,NA,NA,NA,NA,room temperature,°C,4月5日,initial,682.81,ppb,Fe-Ni bimetallic nanoparticles,bimetallic nanoparticles,NA,批次,pH,NA,NA,Initial DCE: 682.81 ppb; 90% degradation at 36 h; hydrodechlorination mechanism,Degradation of DCE and TCE by Fe-Ni nanoparticles immobilised polysulphone matrix,Journal of Experimental Nanoscience
"Electrocatalytic dechlorination of 1,2-DCA using NiMn2O4-CS cathode at -2.75 V vs SCE",CH2ClCH2Cl + e- → CH2ClCH2 + Cl-; CH2ClCH2 + e- → CH2CH2 + Cl-,总反应,还原,"1,2-dichloroethane",ethylene (41% FE); vinyl chloride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mV vs SHE,0.1,M,NiMn2O4-CS,spinel oxide,NA,批次,potential,DMF solution,表格直接提取 / 图提取,"Manganese-Based Spinel Core-Shell Nanostructures for Efficient Electrocatalysis of 1,2-Dichloroethane",ACS Appl. Nano Mater.
"CS@ZVI degradation of 1,2-dichloroethane at 0.5 g/L dosage",NA,总反应,还原,"1,2-Dichloroethane",NA,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,initial,500,μg/L,NA,Zero-valent iron,NA,批次,catalyst_dosage,NA,厌氧,Removal efficiency 36.89% at 0.5 g/L CS@ZVI,Enhancing the removal of chlorinated hydrocarbons from groundwater using a new BL5 microorganism with functional CS@ZVI materials,Journal of Water Process Engineering
