reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CCl4 degradation with 5 mg/L humic acid,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.0585,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,humic acid concentration,NA,NA,Inhibition by humic acid,,Int. J. Environ. Res. Public Health
CCl4 degradation with 10 mg/L humic acid,CCl4 + e- → CHCl3 + Cl-,总反应,还原,CCl4,CHCl3,1,0.0472,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,2.0 × 10⁴,µg/L,microscale ZVI,0.093,m²/g,批次,humic acid concentration,NA,NA,NA,,Int. J. Environ. Res. Public Health
CT reduction by unmodified ZVI in ultrapure water,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0079,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,Enhanced degradation of carbon tetrachloride by surfactant-modified zero-valent iron.,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.30 mmol/L CTAB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.012,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; surfactant loading 0.4 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.90 mmol/L CTAB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0143,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC; surfactant loading 1.0 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 2.70 mmol/L CTAB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0129,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; surfactant loading 5.9 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.20 mmol/L CPB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0125,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; surfactant loading 0.4 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.60 mmol/L CPB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0182,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC; surfactant loading 0.7 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 1.80 mmol/L CPB,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0134,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; surfactant loading 2.8 mmol/kg,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.06 mmol/L Tween 80,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0083,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.19 mmol/L Tween 80,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0102,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.56 mmol/L Tween 80,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0092,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.08 mmol/L Triton-100,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0089,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.25 mmol/L Triton-100,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0113,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.75 mmol/L Triton-100,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.01,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 2.70 mmol/L SDS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0072,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 8.00 mmol/L SDS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0069,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 24.00 mmol/L SDS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0085,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.70 mmol/L SDBS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0069,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 2.10 mmol/L SDBS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0066,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking; near CMC,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 6.30 mmol/L SDBS,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,0.0075,min⁻¹,NA,NA,NA,NA,25,°C,7,initial,20,mg/L,NA,NA,NA,批次,surfactant type and concentration,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.6 mmol/L CPB at pH 4.0,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,NA,min⁻¹,NA,NA,NA,NA,25,°C,4,initial,20,mg/L,NA,NA,NA,批次,pH,NA,NA,220 r/min shaking; rate constant approximately twice that at higher pH,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.6 mmol/L CPB at pH 5.5,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,NA,min⁻¹,NA,NA,NA,NA,25,°C,5.5,initial,20,mg/L,NA,NA,NA,批次,pH,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
CT reduction by ZVI modified with 0.6 mmol/L CPB at pH 8.5,CCl4 + Fe0 → products,NA,还原,CCl4,NA,1,NA,min⁻¹,NA,NA,NA,NA,25,°C,8.5,initial,20,mg/L,NA,NA,NA,批次,pH,NA,NA,220 r/min shaking,,J Zhejiang Univ SCIENCE B
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,1.9,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,69,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,Reductive dechlorination of carbon tetrachloride using iron(II) iron(III) hydroxide sulfate (green rust),Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,2.18,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,70.9,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.47,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,129,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.88,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,264,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,1.45,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,20.7,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,1.13,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,20.7,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.67,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,62.1,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.72,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,62.1,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,1.1,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,73.5,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.98,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,73.5,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.27,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,5.18,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Below aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.31,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,10.36,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Below aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.28,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,15.54,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Below aqueous solubility of CCl4,,Environ. Sci. Technol.
"CCl4 reduction by GRSO4 at pH ~8, room temperature",CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,CHCl3; C2Cl6,1,0.39,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,20.73,mM,green rust sulfate,NA,NA,批次,CCl4浓度,NA,厌氧,Slightly above aqueous solubility of CCl4,,Environ. Sci. Technol.
"CHCl3 reduction by GRSO4 at pH ~8, room temperature",CHCl3 + e- → products,总反应,还原,CHCl3,NA,1,0.0003,s⁻¹ × 10⁻⁵,NA,NA,NA,NA,25,°C,8,initial,124,mM,green rust sulfate,NA,NA,批次,CHCl3浓度,NA,厌氧,CHCl3 reduction ~100 times slower than CCl4,,Environ. Sci. Technol.
CCl4 reduction by magnetite in NaCl background electrolyte,CCl4 → products,总反应,还原,CCl4,CO (82%); CHCl3 (5.2%); CH4 (<1%); C2Cl4 (<0.01%),1,7.1E-05,L·m⁻²·h⁻¹,NA,NA,NA,NA,25,°C,8.9,buffered,20,μM,FeIIFeIII2O4,18.01,m²/g,批次,buffer type,NA,厌氧,D2O solvent; 13% unidentified products likely formate,Influence of amine buffers on carbon tetrachloride reductive dechlorination by the iron oxide magnetite,Environ. Sci. Technol.
CCl4 reduction by magnetite with TRISd buffer,CCl4 → products,总反应,还原,CCl4,CHCl3 (11%); CO (82%); CDCl3 (4%),1,2.1E-04,L·m⁻²·h⁻¹,NA,NA,NA,NA,25,°C,8.9,buffered,20,μM,FeIIFeIII2O4,18.01,m²/g,批次,buffer type,NA,厌氧,Deuterated TRIS buffer; proton abstraction mechanism,,Environ. Sci. Technol.
CCl4 reduction by magnetite with TEAd buffer,CCl4 → products,总反应,还原,CCl4,CHCl3 (8.8%); CO (unchanged from baseline),1,8.6E-05,L·m⁻²·h⁻¹,NA,NA,NA,NA,25,°C,8.9,buffered,20,μM,FeIIFeIII2O4,18.01,m²/g,批次,buffer type,NA,厌氧,Deuterated triethylammonium; minimal buffer impact,,Environ. Sci. Technol.
CCl4 reduction by magnetite with TEEN buffer,CCl4 → products,总反应,还原,CCl4,CHCl3 (34%); CO (35%),1,8.7E-05,L·m⁻²·h⁻¹,NA,NA,NA,NA,25,°C,8.9,buffered,20,μM,FeIIFeIII2O4,18.01,m²/g,批次,buffer type,NA,厌氧,"N,N,N′,N′-tetraethylethylenediamine; 31% unidentified products",,Environ. Sci. Technol.
CT dechlorination by bare NZVI,CCl4 + Fe0 + H+ → CHCl3 + Cl- + Fe2+,第1步,还原,CCl4,CHCl3 (major); CH2Cl2; CH3Cl; CH4,1,0.019,min⁻¹,NA,NA,NA,NA,25,°C,7月9日,initial then drift,60,mg/L,zero-valent iron,14.1,m²/g,批次,NA,NA,厌氧,"Sequential dechlorination, kS=0.034 m⁻² min⁻¹",Effect of Surfactants on Zero-Valent Iron Nanoparticles (NZVI) Reactivity,J Surfact Deterg
CT dechlorination with SO surfactant,CCl4 + Fe0 + H+ → CHCl3 + Cl- + Fe2+,第1步,还原,CCl4,CHCl3 (major); trace CH2Cl2,1,0.0047,min⁻¹,NA,NA,NA,NA,25,°C,7月9日,initial then drift,60,mg/L,zero-valent iron,14.1,m²/g,批次,surfactant type,NA,厌氧,SO inhibits CT reduction 4-fold,,J Surfact Deterg
CT dechlorination with SL surfactant,CCl4 + Fe0 + H+ → CHCl3 + Cl- + Fe2+,第1步,还原,CCl4,CHCl3 (major); trace CH2Cl2,1,0.002,min⁻¹,NA,NA,NA,NA,25,°C,7月9日,initial then drift,60,mg/L,zero-valent iron,14.1,m²/g,批次,surfactant type,NA,厌氧,SL inhibits CT reduction 10-fold,,J Surfact Deterg
CT dechlorination with SDS surfactant,CCl4 + Fe0 + H+ → CHCl3 + Cl- + Fe2+,第1步,还原,CCl4,CHCl3; CH2Cl2 (substantial),1,0.066,min⁻¹,NA,NA,NA,NA,25,°C,7月9日,initial then drift,60,mg/L,zero-valent iron,14.1,m²/g,批次,surfactant type,NA,厌氧,SDS enhances CT reduction 3.5-fold,,J Surfact Deterg
CT dechlorination with SDP surfactant,CCl4 + Fe0 + H+ → CHCl3 + Cl- + Fe2+,第1步,还原,CCl4,CHCl3; CH2Cl2 (substantial),1,0.049,min⁻¹,NA,NA,NA,NA,25,°C,7月9日,initial then drift,60,mg/L,zero-valent iron,14.1,m²/g,批次,surfactant type,NA,厌氧,SDP enhances CT reduction 2.6-fold,,J Surfact Deterg
CCl4 reduction by 0.5 mM Fe(II) alone at pH 7,CCl4 + Fe(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (60-70%),1,0.007,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,Fe(II) concentration,NA,厌氧,"Fe(II)/Cu(II)=1, HEPES buffer",Reductive dechlorination of carbon tetrachloride in aqueous solutions containing ferrous and copper ions,Environ. Sci. Technol.
CCl4 reduction by 1.0 mM Fe(II) + 0.5 mM Cu(II) at pH 7,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (60-70%),1,0.252,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,Fe(II) concentration,NA,厌氧,"Fe(II)/Cu(II)=2, HEPES buffer",,Environ. Sci. Technol.
CCl4 reduction by 3.0 mM Fe(II) + 0.5 mM Cu(II) at pH 7,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (60-70%),1,0.252,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,Fe(II) concentration,NA,厌氧,"Fe(II)/Cu(II)=6, HEPES buffer",,Environ. Sci. Technol.
CCl4 reduction by 4.0 mM Fe(II) + 0.5 mM Cu(II) at pH 7,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (60-70%),1,1.056,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,Fe(II) concentration,NA,厌氧,"Fe(II)/Cu(II)=8, HEPES buffer",,Environ. Sci. Technol.
CCl4 reduction by 5.0 mM Fe(II) + 0.5 mM Cu(II) at pH 7,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (60-70%),1,1.754,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,Fe(II) concentration,NA,厌氧,"Fe(II)/Cu(II)=10, HEPES buffer",,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) at pH 4.3,CCl4 + Fe(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3,1,0,h⁻¹,NA,NA,NA,NA,25,°C,4.3,unbuffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,"No Cu(II), unbuffered",,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 4.3,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (0.31 μM max),1,0.0057,h⁻¹,NA,NA,NA,NA,25,°C,4.3,unbuffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,Unbuffered system,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 5.5,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (0.42 μM max),1,0.017,h⁻¹,NA,NA,NA,NA,25,°C,5.5,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,MES buffer,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 6.0,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (3.93 μM max),1,0.0224,h⁻¹,NA,NA,NA,NA,25,°C,6,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,MES buffer,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 6.5,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (12.28 μM max),1,0.0827,h⁻¹,NA,NA,NA,NA,25,°C,6.5,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,MES buffer,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 7.0,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (13.57 μM max),1,0.252,h⁻¹,NA,NA,NA,NA,25,°C,7,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,HEPES buffer,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) at pH 8.0,CCl4 + Fe(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (8.45 μM max),1,0.0209,h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,"HEPES buffer, no Cu(II)",,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 8.0,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (13.47 μM max),1,0.347,h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,HEPES buffer,,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) at pH 8.5,CCl4 + Fe(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (14.44 μM max),1,0.0946,h⁻¹,NA,NA,NA,NA,25,°C,8.5,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,"TRIS buffer, no Cu(II)",,Environ. Sci. Technol.
CCl4 reduction by 3 mM Fe(II) + 0.5 mM Cu(II) at pH 8.5,CCl4 + Fe(II) + Cu(II) → CHCl3 + products,总反应,还原,CCl4,CHCl3 (13.43 μM max),1,0.856,h⁻¹,NA,NA,NA,NA,25,°C,8.5,buffered,20,μM,NA,NA,NA,批次,pH,NA,厌氧,TRIS buffer,,Environ. Sci. Technol.
CT reduction by S(-II)-treated goethite at pH 6,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,2.0E-08,M h⁻¹,NA,NA,NA,NA,25,°C,6,initial,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
CT reduction by S(-II)-treated goethite at pH 7,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,4.0E-08,M h⁻¹,NA,NA,NA,NA,25,°C,7,initial,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
CT reduction by S(-II)-treated goethite at pH 8,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,5.5E-08,M h⁻¹,NA,NA,NA,NA,25,°C,8,initial,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate measurement; 1% methanol present; maximum rate,,Chemosphere
CT reduction by S(-II)-treated goethite at pH 9,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,4.5E-08,M h⁻¹,NA,NA,NA,NA,25,°C,9,initial,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
CT reduction by S(-II)-treated goethite at pH 10,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,3.0E-08,M h⁻¹,NA,NA,NA,NA,25,°C,10,initial,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,pH,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
"CT reduction by Fe(II)-S(-II)-treated goethite, 0 mM Fe(II) added",CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,3.0E-07,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,Fe(II) concentration,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
"CT reduction by Fe(II)-S(-II)-treated goethite, 0.2 mM Fe(II) added",CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,6.0E-07,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,Fe(II) concentration,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
"CT reduction by Fe(II)-S(-II)-treated goethite, 0.5 mM Fe(II) added",CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,1.0E-06,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,Fe(II) concentration,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
"CT reduction by Fe(II)-S(-II)-treated goethite, 1.0 mM Fe(II) added",CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,1.3E-06,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,Fe(II) concentration,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
"CT reduction by Fe(II)-S(-II)-treated goethite, 1.5 mM Fe(II) added",CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,1.5E-06,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,Fe(II) concentration,NA,厌氧,Initial rate measurement; 1% methanol present,,Chemosphere
CT reduction by Fe(II)-goethite,CT → products,NA,还原,Carbon tetrachloride (CT),"Chloroform, CS2, CO, formate",NA,1.0E-05,M h⁻¹,NA,NA,NA,NA,25,°C,8,buffered,3.8-4.3,μM,Iron oxide,81.1,m²/g,批次,NA,NA,厌氧,Initial rate measurement; 1% methanol present; no sulfide,,Chemosphere
