反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
"Altus AFB-SR microcosm, second CT spike (Table 2)",总反应,还原,CT,"CF, CS2, CO, formate",1.73 (±0.10) × 10⁻⁸,M/h,NA,NA,NA,NA,NA,NA,NA,25,°C,7.2,NA,NA,soil/sediment,NA,NA,1.5-1.9,µM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"25 mM HEPES buffer, sterilized by boiling",
CT transformation by FeS at pH 8.3 (text),总反应,还原,CT,NA,NA,NA,5.23 (±0.62),L m⁻² d⁻¹,pseudo first order,NA,NA,NA,NA,NA,NA,8.3,NA,NA,FeS,NA,NA,NA,NA,mackinawite,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,surface area normalized rate constant,
CT transformation by crushed pyrite from Mexico without Fe²⁺ (Figure S3),总反应,还原,CT,CF,NA,NA,2.06 (±0.11) × 10⁻² to 4.64 (±0.47) × 10⁻¹,L m⁻² d⁻¹,pseudo first order,NA,NA,NA,NA,NA,NA,8,NA,NA,pyrite,NA,NA,NA,NA,pyrite,FeS₂,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"50 mM HEPES, CF yield 28.2 (±9.6)%",
CT transformation by crushed pyrite from Mexico with 2 mM Fe²⁺ (Figure S3),总反应,还原,CT,CF,NA,NA,2.06 (±0.11) × 10⁻² to 4.64 (±0.47) × 10⁻¹,L m⁻² d⁻¹,pseudo first order,NA,NA,NA,NA,NA,NA,8,NA,NA,pyrite,NA,NA,NA,NA,pyrite,FeS₂,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"50 mM HEPES, 2 mM Fe²⁺, CF yield 46.9 (±3.3)%",
CT transformation by crushed pyrite from Peru without Fe²⁺ (Figure S3),总反应,还原,CT,CF,NA,NA,2.06 (±0.11) × 10⁻² to 4.64 (±0.47) × 10⁻¹,L m⁻² d⁻¹,pseudo first order,NA,NA,NA,NA,NA,NA,8,NA,NA,pyrite,NA,NA,NA,NA,pyrite,FeS₂,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"50 mM HEPES, CF yield 3.8 (±2.0)%",
CT transformation by crushed pyrite from Peru with 2 mM Fe²⁺ (Figure S3),总反应,还原,CT,CF,NA,NA,2.06 (±0.11) × 10⁻² to 4.64 (±0.47) × 10⁻¹,L m⁻² d⁻¹,pseudo first order,NA,NA,NA,NA,NA,NA,8,NA,NA,pyrite,NA,NA,NA,NA,pyrite,FeS₂,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"50 mM HEPES, 2 mM Fe²⁺, CF yield 20.3 (±1.3)%",
CT transformation by Victoria consortium under nitrate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"30.28, 28.25",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 200 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",Biotransformation of carbon tetrachloride by various acetate- and nitrate-limited denitrifying consortia
CT transformation by Victoria consortium under acetate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"7.40, 16.96",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 90 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",
CT transformation by Strothers Field consortium under nitrate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"20.40, 33.76",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 200 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",
CT transformation by Strothers Field consortium under acetate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"8.48, 9.16",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 90 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",
CT transformation by Yakima consortium under nitrate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"22.21, 42.76",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 200 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",
CT transformation by Yakima consortium under acetate-limiting conditions (Table I),总反应,还原,Carbon tetrachloride (CT),Chloroform (CF) + CO2,"5.71, 4.47",L/gmol/min,NA,NA,2 (first order in CT and biomass),NA,NA,NA,NA,17,°C,7,NA,NA,NA,NA,NA,1.4-2.0,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"Acetate 90 mg/L, Nitrate 100 mg/L, cellular protein ~30-120 mg-BSA/L",
Reductive dechlorination of CT by FeS (Fig. 1a),总反应,还原,CT,CF,1.24±0.266,h⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7.5,NA,NA,FeS,NA,NA,1,mM,FeS,Fe₁₊ₓS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,FeS suspension 33 g/L,"Effects of transition metal and sulfide on the reductive dechlorination of carbon tetrachloride and 1,1,1-trichloroethane by FeS"
Reductive dechlorination of CT by FeS with 1 mM Cu(II) (Fig. 1b),总反应,还原,CT,CF,1.59±0.357,h⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7.5,NA,NA,FeS,NA,NA,1,mM,FeS,Fe₁₊ₓS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"FeS suspension 33 g/L, 1 mM Cu(II)",
Reductive dechlorination of CT by FeS with 1 mM Ni(II) (Fig. 1b),总反应,还原,CT,CF,1.32±0.363,h⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7.5,NA,NA,FeS,NA,NA,1,mM,FeS,Fe₁₊ₓS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"FeS suspension 33 g/L, 1 mM Ni(II)",
"CCl4 degradation by non-acid washed ZVI (Figure 1, Table 1)",总反应,还原,CCl4,CHCl3,0.1139,h⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, stirring rate 200 r/min",Degradation Characteristics of Carbon Tetrachloride by Granular Sponge Zero Valent Iron
CCl4 to CHCl3 transformation by non-acid washed ZVI (Table 1),第1步,还原,CCl4,CHCl3,0.0865,h⁻¹,NA,NA,NA,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, k2 formation constant for CHCl3, α=0.7569",
"CHCl3 degradation by non-acid washed ZVI (Figure 1, Table 1)",第2步,还原,CHCl3,NA,0.0109,h⁻¹,NA,NA,NA,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,NA,NA,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, k3 transformation constant for CHCl3",
"CCl4 degradation by acid-washed ZVI (Figure 1, Table 1)",总反应,还原,CCl4,CHCl3,0.1167,h⁻¹,NA,NA,1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, acid-washed with 0.1 mol/L H2SO4",
CCl4 to CHCl3 transformation by acid-washed ZVI (Table 1),第1步,还原,CCl4,CHCl3,0.0931,h⁻¹,NA,NA,NA,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, k2 formation constant, α=0.7980",
CHCl3 degradation by acid-washed ZVI (Table 1),第2步,还原,CHCl3,NA,0.0122,h⁻¹,NA,NA,NA,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,NA,NA,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI dosage 20 g/L, k3 transformation constant",
"CCl4 degradation at ZVI dosage 5 g/L (Figure 4, Figure 5)",总反应,还原,CCl4,CHCl3,0.0325,h⁻¹,0.0833,L/(h·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,ZVI dosage 5 g/L,
"CCl4 degradation at ZVI dosage 10 g/L (Figure 4, Figure 5)",总反应,还原,CCl4,CHCl3,0.0649,h⁻¹,0.0832,L/(h·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,ZVI dosage 10 g/L,
"CCl4 degradation at ZVI dosage 20 g/L (Figure 4, Figure 5)",总反应,还原,CCl4,CHCl3,0.1058,h⁻¹,0.0678,L/(h·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,ZVI dosage 20 g/L,
"CCl4 degradation at ZVI dosage 30 g/L (Figure 4, Figure 5)",总反应,还原,CCl4,CHCl3,0.1437,h⁻¹,0.0614,L/(h·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,ZVI dosage 30 g/L,
"CCl4 degradation at ZVI dosage 40 g/L (Figure 4, Figure 5)",总反应,还原,CCl4,CHCl3,0.1788,h⁻¹,0.0573,L/(h·m²),1,NA,NA,NA,NA,25,°C,7,NA,NA,零价铁,0.078,m²/g,20,mg/L,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,ZVI dosage 40 g/L,
"Reductive dechlorination of CT by 6.0 g/L FeS in liquid-phase (Fig. 3, Section 3.1)",总反应,还原,CT,CF,0.88,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，液相体积3.0 L，气相体积0.5 L，98.9%去除率,Ex-situ Reductive Dechlorination of Carbon Tetrachloride by Iron Sulfide in Batch Reactor
Reductive dechlorination of CT by FeS without excess ions (Section 3.3),总反应,还原,CT,NA,0.884,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，洗涤后无过量离子,
Reductive dechlorination of CT by FeS with excess ions (Section 3.3),总反应,还原,CT,NA,1.2785,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，含过量S²⁻和Fe²⁺,
"Reductive dechlorination of CT by FeS with no mixing time and Co(II) addition (Fig. 5, Section 3.3)",总反应,还原,CT,NA,0.5114,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，添加2 mM Co(II)，0天混合时间，气液两相总速率常数,
"Reductive dechlorination of CT by FeS with 1 day mixing and Co(II) addition (Fig. 5, Section 3.3)",总反应,还原,CT,NA,0.382,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，添加2 mM Co(II)，1天混合时间，气液两相总速率常数,
"Reductive dechlorination of CT by FeS with 1 day mixing and no transition metal (Fig. 5, Section 3.3)",总反应,还原,CT,NA,0.3609,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，无过渡金属，1天混合时间，气液两相总速率常数,
"Reductive dechlorination of CT by FeS with no mixing time and Co(II) addition, liquid-phase only (Fig. 5, Section 3.3)",总反应,还原,CT,NA,1.1893,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，添加2 mM Co(II)，0天混合时间，仅液相速率常数,
"Reductive dechlorination of CT by FeS with 1 day mixing and Co(II) addition, liquid-phase only (Fig. 5, Section 3.3)",总反应,还原,CT,NA,1.0621,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，添加2 mM Co(II)，1天混合时间，仅液相速率常数,
"Reductive dechlorination of CT by FeS with 1 day mixing and no transition metal, liquid-phase only (Fig. 5, Section 3.3)",总反应,还原,CT,NA,1.0699,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，无过渡金属，1天混合时间，仅液相速率常数,
"Reductive dechlorination of CT by FeS with 0 day mixing time (Fig. 6a, Section 3.3)",总反应,还原,CT,CF,0.0853,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，0天混合时间,
"Reductive dechlorination of CT by FeS with 3 days mixing time (Fig. 6b, Section 3.3)",总反应,还原,CT,CF,8.5984×10⁻¹³,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，3天混合时间,
"Reductive dechlorination of CT by FeS, 1st spiking (Fig. 7, Section 3.4)",总反应,还原,CT,NA,0.8348,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，98.8%去除率，无再生,
"Reductive dechlorination of CT by FeS, 2nd spiking (Fig. 7, Section 3.4)",总反应,还原,CT,NA,0.4502,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，88.8%去除率，无再生,
"Reductive dechlorination of CT by FeS, 3rd spiking (Fig. 7, Section 3.4)",总反应,还原,CT,NA,0.3109,hr⁻¹,NA,NA,pseudo-first-order,NA,NA,NA,NA,25,ºC,8.5,NA,NA,iron sulfide,NA,NA,1,mM,NA,FeS,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,厌氧条件，75.8%去除率，无再生,
"CT降解由nZVI催化，10°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0036,min⁻¹,NA,NA,1,NA,NA,44.42,kJ/mol,10,°C,5.5,NA,NA,NA,14.56,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,nZVI dosage = 0.5 g/L,"Reduction of carbon tetrachloride by nanoscale palladized zero-valent iron@ graphene composites: Kinetics, activation energy, effects of reaction conditions and degradation mechanism"
"CT降解由nZVI催化，20°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0072,min⁻¹,NA,NA,1,NA,NA,44.42,kJ/mol,20,°C,5.5,NA,NA,NA,14.56,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,nZVI dosage = 0.5 g/L,
"CT降解由nZVI催化，30°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0135,min⁻¹,NA,NA,1,NA,NA,44.42,kJ/mol,30,°C,5.5,NA,NA,NA,14.56,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,nZVI dosage = 0.5 g/L,
"CT降解由nZVI催化，35°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0166,min⁻¹,NA,NA,1,NA,NA,44.42,kJ/mol,35,°C,5.5,NA,NA,NA,14.56,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,nZVI dosage = 0.5 g/L,
"CT降解由nZVI催化，40°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0223,min⁻¹,NA,NA,1,NA,NA,44.42,kJ/mol,40,°C,5.5,NA,NA,NA,14.56,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,nZVI dosage = 0.5 g/L,
"CT降解由Pd/Fe双金属纳米颗粒催化，10°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0139,min⁻¹,NA,NA,1,NA,NA,34.69,kJ/mol,10,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Pd/Fe dosage = 0.5 g/L,
"CT降解由Pd/Fe双金属纳米颗粒催化，20°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0234,min⁻¹,NA,NA,1,NA,NA,34.69,kJ/mol,20,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Pd/Fe dosage = 0.5 g/L,
"CT降解由Pd/Fe双金属纳米颗粒催化，30°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0382,min⁻¹,NA,NA,1,NA,NA,34.69,kJ/mol,30,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Pd/Fe dosage = 0.5 g/L,
"CT降解由Pd/Fe双金属纳米颗粒催化，35°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0477,min⁻¹,NA,NA,1,NA,NA,34.69,kJ/mol,35,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Pd/Fe dosage = 0.5 g/L,
"CT降解由Pd/Fe双金属纳米颗粒催化，40°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0557,min⁻¹,NA,NA,1,NA,NA,34.69,kJ/mol,40,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Pd/Fe dosage = 0.5 g/L,
"CT降解由P-0.75FGC催化，10°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0218,min⁻¹,NA,NA,1,NA,NA,30.18,kJ/mol,10,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Fe/GO = 2:1, Pd/Fe = 0.75%",
"CT降解由P-0.75FGC催化，20°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0361,min⁻¹,NA,NA,1,NA,NA,30.18,kJ/mol,20,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Fe/GO = 2:1, Pd/Fe = 0.75%",
"CT降解由P-0.75FGC催化，30°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0474,min⁻¹,NA,NA,1,NA,NA,30.18,kJ/mol,30,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Fe/GO = 2:1, Pd/Fe = 0.75%",
"CT降解由P-0.75FGC催化，35°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0603,min⁻¹,NA,NA,1,NA,NA,30.18,kJ/mol,35,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Fe/GO = 2:1, Pd/Fe = 0.75%",
"CT降解由P-0.75FGC催化，40°C（Table 2, Fig. 6）",总反应,还原,CCl4,NA,0.0796,min⁻¹,NA,NA,1,NA,NA,30.18,kJ/mol,40,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Fe/GO = 2:1, Pd/Fe = 0.75%",
CT降解由P-0.75FGC催化，pH = 5.5（Fig. 5）,总反应,还原,CCl4,NA,4.35×10⁻²,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,P-0.75FGC dosage = 0.5 g/L,
CT降解由P-0.75FGC催化，pH = 10.0（Fig. 5）,总反应,还原,CCl4,NA,2.23×10⁻²,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,°C,10,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,P-0.75FGC dosage = 0.5 g/L,
CT降解由FGC催化，Pd/Fe = 0%（Fig. 9）,总反应,还原,CCl4,NA,1.32×10⁻²,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,°C,5.5,NA,NA,NA,NA,NA,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"FGC dosage = 0.5 g/L, Pd/Fe = 0%",
CT降解由P-0.75FGC催化，Pd/Fe = 0.75%（Fig. 9）,总反应,还原,CCl4,NA,4.50×10⁻²,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,°C,5.5,NA,NA,NA,82.42,m²/g,3,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"P-0.75FGC dosage = 0.5 g/L, Pd/Fe = 0.75%",
CT degradation by Ni4/Fe@Fe3O4 (Fig. S1),总反应,还原,CCl4,"CHCl3, CH2Cl2",0.1972,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,℃,7,NA,NA,Ni4/Fe@Fe3O4 nanocomposite,5.863,m²/g,10,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Catalyst concentration = 0.20 g/L,Insight into the action of magnetite loaded with nano Ni/Fe bimetallic particles (Ni4/Fe@Fe3O4) toward carbon tetrachloride degradation in aqueous solution
CF degradation by Ni4/Fe@Fe3O4 (Fig. S1),第1步,还原,CHCl3,CH2Cl2,0.0172,min⁻¹,NA,NA,1,NA,NA,NA,NA,30,℃,7,NA,NA,Ni4/Fe@Fe3O4 nanocomposite,5.863,m²/g,8,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,Catalyst concentration = 0.20 g/L,
"CCl4 reduction to CHCl3 by highly reactive Fe(II) sites (Table 1, entry 29)",总反应,还原,CCl4,CHCl3,1.58×10²,M⁻¹ h⁻¹,NA,NA,2,NA,NA,NA,NA,25,°C,6.5,NA,NA,ferruginous smectite,NA,NA,20,µM,SWa-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"7.8 g L⁻¹ smectite, 10 mM PIPES buffer, 66% CHCl3 yield",Reduction of Polychlorinated Ethanes and Carbon Tetrachloride by Structural Fe(II) in Smectites
"CCl4 reduction to CHCl3 by less reactive Fe(II) sites (Table 1, entry 29)",总反应,还原,CCl4,CHCl3,1.23×10⁻²,M⁻¹ h⁻¹,NA,NA,2,NA,NA,NA,NA,25,°C,6.5,NA,NA,ferruginous smectite,NA,NA,20,µM,SWa-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"7.8 g L⁻¹ smectite, 10 mM PIPES buffer, 66% CHCl3 yield",
"CCl4 reduction to CHCl3 by highly reactive Fe(II) sites (Table 1, entry 30)",总反应,还原,CCl4,CHCl3,8.51×10¹,M⁻¹ h⁻¹,NA,NA,2,NA,NA,NA,NA,25,°C,7.5,NA,NA,ferruginous smectite,NA,NA,20,µM,SWa-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"7.8 g L⁻¹ smectite, 10 mM MOPS buffer",
"CCl4 reduction to CHCl3 by less reactive Fe(II) sites (Table 1, entry 30)",总反应,还原,CCl4,CHCl3,8.13×10⁻³,M⁻¹ h⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"CT reduction by FHC (Figure S9, Table S5)",总反应,还原,CCl4,"HCCl3, H2CCl2, CH4",0.07926,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,7.5,NA,NA,Fe(OH)2,NA,NA,20,μM,NA,Fe(OH)2,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[Fe(II)]0=20 mM, reaction time=90 min",Fe(II) coordination transition regulates reductive dechlorination: The overlo完成提取ed abiotic role of lactate
"CT reduction by lactate-Fe(II)-I with C3H5O3⁻:Fe(II)=0.1:20 (Figure S9, Table S5)",总反应,还原,CCl4,"HCCl3, H2CCl2, CH4",0.08,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,7.5,NA,NA,lactate-Fe(II) complex,NA,NA,20,μM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"[Fe(II)]0=20 mM, [C3H5O3⁻]0=0.1 mM, reaction time=90 min",
